Server_No,IP,ssh,SSH_Status,Tomcat_Name,Tomcat_Status,Application_Name,SHA_ID,CPU_Cores,Mem_Total_MiB,Mem_Used_MiB,Mem_Free_MiB,Default_Config_URL
37,10.30.161.4,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1818,193,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
38,10.30.161.5,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1816,257,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
39,10.30.161.211,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1797,237,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
40,10.30.161.212,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1806,283,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
41,10.30.161.213,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1811,210,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
42,10.30.161.214,ssh passed,tomcat8-httpsender,UP,HTTPSender,0d922cc0573b2fe15856a139df00a27c677f7f75,4,7886,1798,237,/jndi/rmi://SMPPSender-sh3-sender-01.sh3.gupshup.me:9999/jmxrmi
43,10.30.162.2,ssh passed,No-Tomcats-found,N/A,N/A,N/A,4,15938,1672,11915,Not-Found
44,10.30.162.3,ssh passed,No-Tomcats-found,N/A,N/A,N/A,4,15938,1654,11998,Not-Found
45,10.30.162.4,ssh passed,No-Tomcats-found,N/A,N/A,N/A,4,15938,1653,12000,Not-Found
46,10.30.162.6,ssh passed,tomcat8-webaroosms1,UP,WebarooSMS1,cf4536075dabbb4b70c92d291449efdc3d4d9e0b,4,15938,2603,2357,/jndi/rmi://SMPPServer-sh3-sender-06.sh3.gupshup.me:9999/jmxrmi
47,10.30.162.7,ssh passed,tomcat8-webaroosms1,UP,WebarooSMS1,cf4536075dabbb4b70c92d291449efdc3d4d9e0b,4,15938,2657,2138,/jndi/rmi://SMPPServer-sh3-sender-06.sh3.gupshup.me:9999/jmxrmi
48,10.30.162.8,ssh passed,tomcat8-bns-soip,DOWN,BlockedNo,Not-Found,8,15938,557,5804,/jndi/rmi://host0059.sh3.gupshup.me:9999/jmxrmi
49,10.30.162.9,ssh passed,tomcat8-bns-soip,DOWN,BlockedNo,Not-Found,8,15938,559,10576,/jndi/rmi://host0059.sh3.gupshup.me:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsender01,UP,SMPPSender,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsender02,UP,SMPPSender,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsender03,UP,SMPPSender,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsender04,UP,SMPPSender,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsender05,UP,SMPPSender,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsender06,UP,SMPPSender,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsender07,UP,SMPPSender,eac148fcf08d0a637fd9421d14dfeae9fbab41f6,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
50,10.30.161.218,ssh passed,tomcat8-smppsendercallback01,UP,SMPPSenderCallBack,81f991eee6f6621f03860771b285ef41fea40b3a,24,48122,19134,651,/jndi/rmi://10.30.161.217:9999/jmxrmi
